Wavelength	Counts
659.95	15123.50
660.30	15009.38
660.65	14591.00
661.00	14915.25
661.35	14950.38
661.70	14496.88
662.05	14757.13
662.39	14596.38
662.74	14659.13
663.09	14431.50
663.44	14327.88
663.79	14523.38
664.14	14430.38
664.48	14384.88
664.83	14445.13
665.18	13995.00
665.53	13959.63
665.88	14045.75
666.23	13816.38
666.57	14233.25
666.92	14046.13
667.27	13749.25
667.62	14196.25
667.96	13713.13
668.31	13728.75
668.66	13880.38
669.01	13653.25
669.36	13973.00
669.70	13770.50
670.05	13440.75
670.40	13553.50
670.75	13550.50
671.09	13555.38
671.44	13320.50
671.79	13156.63
672.13	13230.00
672.48	13512.50
672.83	13514.50
673.18	13474.00
673.52	12965.50
673.87	13293.38
674.22	13291.75
674.56	13109.88
674.91	12855.25
675.26	13059.13
675.60	12780.38
675.95	12958.63
676.30	12607.00
676.65	12793.50
676.99	12976.63
677.34	12553.63
677.68	12411.63
678.03	12383.50
678.38	12290.13
678.72	12417.88
679.07	12573.63
679.42	12460.25
679.76	12134.13
680.11	12251.13
680.46	12031.50
680.80	12393.63
681.15	11967.00
681.49	11859.88
681.84	12123.13
682.19	11811.25
682.53	11977.00
682.88	11721.50
683.22	11711.00
683.57	11506.25
683.91	11746.88
684.26	11887.13
684.61	11575.00
684.95	11501.38
685.30	11296.50
685.64	11453.38
685.99	11531.25
686.33	11470.50
686.68	11339.25
687.02	11122.50
687.37	11034.13
687.71	11256.50
688.06	10729.75
688.40	10610.13
688.75	10672.38
689.09	10704.25
689.44	10851.75
689.78	10449.38
690.13	10633.50
690.47	10487.38
690.82	10057.50
691.16	10514.13
691.51	10310.63
691.85	10149.88
692.20	10131.25
692.54	10000.00
692.89	9720.50
693.23	10134.50
693.57	9573.25
693.92	9626.38
694.26	9649.75
694.61	9403.63
694.95	9666.38
695.30	9643.00
695.64	9289.63
695.98	9534.25
696.33	9197.00
696.67	9220.50
697.02	9221.00
697.36	8713.25
697.70	9007.63
698.05	8556.25
698.39	9060.38
698.73	8566.75
699.08	8562.13
699.42	8517.88
699.77	8662.13
700.11	8505.38
700.45	8048.63
700.80	8491.75
701.14	8492.75
701.48	8367.25
701.83	8009.63
702.17	8224.88
702.51	8131.63
702.86	7728.50
703.20	7627.63
703.54	7894.13
703.88	7687.38
704.23	7784.38
704.57	7428.63
704.91	7586.38
705.26	7295.00
705.60	7182.38
705.94	7416.00
706.28	7152.00
706.63	7407.88
706.97	6982.63
707.31	7370.88
707.65	7196.38
708.00	6798.38
708.34	6780.63
708.68	6826.38
709.02	6824.25
709.37	6970.88
709.71	6850.38
710.05	6806.25
710.39	6802.63
710.73	6734.63
711.08	6271.25
711.42	6125.25
711.76	5983.00
712.10	5942.50
712.44	6372.25
712.78	6392.38
713.13	5943.25
713.47	5988.00
713.81	6078.38
714.15	6051.75
714.49	6106.50
714.83	6011.13
715.18	6019.25
715.52	5816.38
715.86	5410.88
716.20	5528.38
716.54	5319.13
716.88	5480.75
717.22	5618.50
717.56	5493.25
717.91	5453.88
718.25	5100.25
718.59	5299.63
718.93	5276.75
719.27	5323.38
719.61	4872.13
719.95	4984.50
720.29	5351.88
720.63	4864.25
720.97	4946.00
721.31	4811.75
721.65	4735.13
721.99	4971.88
722.33	4772.25
722.68	4622.13
723.02	5016.13
723.36	4475.50
723.70	4606.88
724.04	4385.13
724.38	4612.38
724.72	4671.50
725.06	4709.88
725.40	4396.75
725.74	4457.63
726.08	4514.00
726.42	4552.50
726.76	4150.13
727.10	4085.88
727.44	4097.25
727.77	4219.50
728.11	4297.00
728.45	4026.25
728.79	3935.75
729.13	4439.63
729.47	4076.38
729.81	4240.88
730.15	3965.88
730.49	4316.50
730.83	4009.00
731.17	4101.75
731.51	3713.25
731.85	3917.88
732.19	3868.25
732.53	3813.00
732.86	3798.75
733.20	4101.63
733.54	3911.25
733.88	3945.88
734.22	3514.13
734.56	3693.88
734.90	3610.00
735.24	3511.88
735.57	3829.50
735.91	3457.38
736.25	3785.00
736.59	3399.88
736.93	3352.00
737.27	3363.63
737.60	3422.88
737.94	3498.75
738.28	3501.88
738.62	3244.63
738.96	3548.88
739.29	3450.88
739.63	3439.13
739.97	3523.75
740.31	3542.38
740.65	3250.38
740.98	3448.25
741.32	3617.13
741.66	3062.38
742.00	3534.00
742.33	3474.13
742.67	3469.50
743.01	3077.75
743.35	3449.63
743.68	3413.25
744.02	2879.75
744.36	3068.13
744.70	3236.38
745.03	2949.25
745.37	2942.00
745.71	3061.38
746.04	2915.63
746.38	2785.13
746.72	2957.50
747.06	2925.38
747.39	3251.88
747.73	3048.25
748.07	2804.63
748.40	2879.50
748.74	3206.63
749.08	2673.75
749.41	2658.13
749.75	3129.00
750.09	2635.75
750.42	2589.50
750.76	2549.00
751.09	3063.50
751.43	3023.88
751.77	2972.25
752.10	2678.00
752.44	2649.13
752.78	2997.00
753.11	2897.63
753.45	2713.88
753.78	3000.63
754.12	2852.13
754.46	2556.50
754.79	2373.25
755.13	2616.00
755.46	2548.88
755.80	2495.38
756.13	2582.00
756.47	2734.25
756.80	2740.00
757.14	2599.38
757.48	2718.63
757.81	2409.63
758.15	2637.25
758.48	2723.63
758.82	2770.75
759.15	2255.38
759.49	2274.63
759.82	2372.88
760.16	2585.38
760.49	2268.25
760.83	2664.00
761.16	2444.13
761.50	2521.75
761.83	2072.50
762.17	2488.38
762.50	2185.25
762.84	2307.13
763.17	2490.25
763.50	2251.63
763.84	2173.13
764.17	2188.00
764.51	2232.88
764.84	2236.25
765.18	2420.00
765.51	2183.88
765.84	1966.00
766.18	2411.25
766.51	2387.75
766.85	1832.88
767.18	2346.88
767.51	1896.50
767.85	1950.88
768.18	1909.50
768.52	2004.13
768.85	1987.00
769.18	1705.13
769.52	1783.50
769.85	2266.25
770.18	1952.63
770.52	1820.13
770.85	1655.63
771.18	2119.75
771.52	1753.00
771.85	2169.38
772.18	1859.25
772.52	2052.25
772.85	1851.00
773.18	1852.50
773.52	1866.75
773.85	1767.13
774.18	2074.38
774.52	2063.13
774.85	1996.63
775.18	1720.13
775.51	1627.38
775.85	1921.63
776.18	1883.75
776.51	1844.00
776.84	1392.38
777.18	1501.13
777.51	1513.75
777.84	1853.63
778.17	1652.25
778.51	1397.25
778.84	1811.50
779.17	1584.00
779.50	1473.25
779.83	1397.50
780.17	1801.50
780.50	1409.25
780.83	1588.75
781.16	1220.00
781.49	1192.13
781.83	1152.13
782.16	1475.63
782.49	1705.63
782.82	1612.38
783.15	1317.00
783.48	1318.25
783.82	1365.63
784.15	1414.88
784.48	1096.63
784.81	1587.75
785.14	1089.38
785.47	1616.13
785.80	1089.00
786.14	1156.50
786.47	1152.88
786.80	1154.38
787.13	1064.00
787.46	1524.75
787.79	1010.00
788.12	1528.50
788.45	991.13
788.78	1393.50
789.11	1452.00
789.44	976.38
789.77	919.75
790.10	1401.75
790.44	1076.50
790.77	1457.63
791.10	1363.75
791.43	1041.00
791.76	888.13
792.09	1345.50
792.42	954.00
792.75	1392.63
793.08	1141.25
793.41	1362.25
793.74	1243.75
794.07	835.75
794.40	841.00
794.73	1314.13
795.06	834.75
795.39	1006.75
795.72	1131.38
796.05	1387.75
796.38	1287.25
796.71	938.50
797.03	1082.88
797.36	980.63
797.69	1351.00
798.02	1164.00
798.35	1197.38
798.68	922.25
799.01	1331.63
799.34	1238.75
799.67	930.75
800.00	1098.13
800.33	823.13
809.42	826.25
809.75	1277.88
810.08	757.75
810.41	822.75
810.74	895.50
811.07	840.50
811.40	1092.00
811.72	1024.13
812.05	851.63
812.38	853.75
812.71	1060.25
813.04	944.63
813.37	908.88
813.70	947.88
814.02	574.13
814.35	705.38
814.68	862.63
815.01	885.00
815.34	781.63
815.66	945.63
815.99	920.25
816.32	531.25
816.65	572.13
816.98	947.63
817.30	582.50
817.63	724.13
817.96	601.75
818.29	517.38
818.61	908.50
818.94	1027.75
819.27	960.13
819.60	734.00
819.92	783.13
820.25	796.38
820.58	496.75
820.90	666.13
821.23	692.13
821.56	565.13
821.89	520.88
822.21	550.13
822.54	777.13
822.87	849.50
823.19	585.13
823.52	659.38
823.85	887.38
824.17	421.75
824.50	976.38
824.83	458.25
825.15	434.63
825.48	635.75
825.81	473.50
826.13	932.25
826.46	894.88
826.78	465.88
827.11	805.00
827.44	808.38
827.76	799.63
